INSTANCIA;LITERATURA;MELHOR;AVG;RPDbst;RPDavg
30x6_3_U_10_100__R_inter;118;119.0;126.5;0.01;0.07
30x6_4_JobCorre_R_uni;269;265.0;270.9;-0.01;0.01
25x2_3_U_10_100__R_uni;580;568.0;586.2;-0.02;0.01
20x6_1_U_10_100__R_uni;81;83.0;86.7;0.02;0.07
25x2_3_JobCorre_R_uni;722;711.0;720.5;-0.02;-0.00
25x2_1_U_1_100__R_uni;432;437.0;443.2;0.01;0.03
25x2_3_U_100_200__R_uni;1804;1770.0;1790.8;-0.02;-0.01
20x6_4_JobCorre_R_inter;182;185.0;189.5;0.02;0.04
20x2_1_U_100_200__R_inter;1389;1376.0;1387.0;-0.01;-0.00
25x4_5_JobCorre_R_uni;390;384.0;390.7;-0.02;0.00
20x4_3_U_1_100__R_inter;108;108.0;108.0;0.00;0.00
30x6_1_U_10_100__R_inter;113;115.0;118.6;0.02;0.05
20x6_1_JobCorre_R_inter;212;211.0;215.9;-0.00;0.02
20x6_5_U_1_100__R_inter;61;75.0;86.6;0.23;0.42
20x6_5_MachCorre_R_inter;143;147.0;149.9;0.03;0.05
20x2_2_U_1_100__R_uni;376;382.0;383.8;0.02;0.02
30x2_5_JobCorre_R_uni;874;856.0;860.4;-0.02;-0.02
25x6_4_U_10_100__R_inter;97;97.0;99.4;0.00;0.02
30x2_3_U_10_100__R_uni;818;765.0;775.3;-0.06;-0.05
30x2_5_JobCorre_R_inter;920;907.0;928.9;-0.01;0.01
25x6_1_MachCorre_R_inter;154;166.0;168.4;0.08;0.09
20x4_1_MachCorre_R_uni;161;161.0;163.5;0.00;0.02
30x4_4_U_10_100__R_uni;170;175.0;176.5;0.03;0.04
30x4_2_MachCorre_R_uni;121;127.0;136.4;0.05;0.13
30x6_3_U_100_200__R_inter;588;588.0;596.5;0.00;0.01
25x2_1_U_10_100__R_uni;524;513.0;514.4;-0.02;-0.02
20x4_1_JobCorre_R_uni;303;295.0;298.9;-0.03;-0.01
20x2_4_U_10_100__R_inter;395;395.0;395.9;0.00;0.00
20x6_3_U_1_100__R_inter;59;60.0;71.1;0.02;0.20
30x4_2_JobCorre_R_inter;481;481.0;490.9;0.00;0.02
30x2_2_U_100_200__R_inter;1989;1990.0;1990.0;0.00;0.00
30x2_5_U_100_200__R_inter;1994;2010.0;2013.5;0.01;0.01
25x2_1_MachCorre_R_inter;1563;1462.0;1476.2;-0.06;-0.06
25x4_2_U_1_100__R_inter;115;115.0;115.0;0.00;0.00
20x6_2_JobCorre_R_inter;171;179.0;183.7;0.05;0.07
25x4_3_U_1_100__R_inter;127;127.0;135.5;0.00;0.07
25x4_1_U_1_100__R_inter;132;132.0;133.5;0.00;0.01
20x6_2_MachCorre_R_uni;95;102.0;106.1;0.07;0.12
20x4_3_JobCorre_R_uni;279;277.0;282.2;-0.01;0.01
20x4_4_MachCorre_R_uni;211;213.0;218.4;0.01;0.03
20x4_2_MachCorre_R_uni;159;165.0;169.0;0.04;0.06
25x4_3_U_10_100__R_uni;201;201.0;203.0;0.00;0.01
30x4_1_MachCorre_R_uni;321;317.0;322.1;-0.01;0.00
30x4_4_U_100_200__R_inter;887;887.0;892.6;0.00;0.01
20x4_2_U_10_100__R_inter;147;147.0;149.2;0.00;0.01
25x4_4_MachCorre_R_inter;205;207.0;209.9;0.01;0.02
25x2_5_MachCorre_R_inter;1259;1223.0;1223.0;-0.03;-0.03
25x2_4_U_100_200__R_uni;1688;1636.0;1637.5;-0.03;-0.03
20x2_5_U_100_200__R_uni;1375;1369.0;1384.7;-0.00;0.01
25x6_5_JobCorre_R_uni;241;237.0;239.8;-0.02;-0.00
25x4_5_U_100_200__R_inter;784;784.0;785.1;0.00;0.00
30x4_3_MachCorre_R_uni;563;544.0;546.4;-0.03;-0.03
30x2_4_MachCorre_R_uni;907;869.0;874.5;-0.04;-0.04
20x4_3_MachCorre_R_uni;172;181.0;184.5;0.05;0.07
25x6_3_U_1_100__R_uni;75;80.0;87.3;0.07;0.16
25x2_3_U_1_100__R_uni;500;504.0;513.5;0.01;0.03
30x4_2_MachCorre_R_uni;121;133.0;135.9;0.10;0.12
25x6_1_U_1_100__R_inter;74;74.0;76.5;0.00;0.03
20x6_5_MachCorre_R_uni;68;85.0;95.6;0.25;0.41
25x2_2_U_100_200__R_inter;2138;2147.0;2220.6;0.00;0.04
30x4_4_JobCorre_R_uni;381;375.0;380.6;-0.02;-0.00
25x4_5_U_10_100__R_uni;245;234.0;237.4;-0.04;-0.03
20x2_5_MachCorre_R_inter;718;721.0;721.4;0.00;0.00
25x2_5_JobCorre_R_inter;894;895.0;920.7;0.00;0.03
25x4_1_MachCorre_R_inter;286;290.0;293.0;0.01;0.02
25x6_4_JobCorre_R_inter;230;229.0;235.7;-0.00;0.02
20x4_3_U_100_200__R_inter;609;609.0;609.3;0.00;0.00
20x4_2_U_10_100__R_uni;149;149.0;158.0;0.00;0.06
25x2_2_JobCorre_R_uni;824;810.0;819.6;-0.02;-0.01
25x2_1_U_1_100__R_inter;632;659.0;667.6;0.04;0.06
20x6_1_U_1_100__R_uni;54;57.0;68.7;0.06;0.27
20x2_4_MachCorre_R_uni;751;751.0;751.9;0.00;0.00
25x6_1_JobCorre_R_uni;222;215.0;221.3;-0.03;-0.00
20x2_3_U_100_200__R_uni;1443;1403.0;1404.2;-0.03;-0.03
30x4_3_U_1_100__R_uni;164;167.0;171.5;0.02;0.05
25x2_2_MachCorre_R_inter;1266;1153.0;1157.6;-0.09;-0.09
20x2_5_U_100_200__R_inter;1499;1497.0;1497.0;-0.00;-0.00
