Instance;min_sol;max_LB
20x4_3_U_1_100__R_inter;108;108
20x4_3_U_1_100__R_uni;128;127
20x4_3_U_10_100__R_inter;147;147
20x4_3_U_10_100__R_uni;162;162
20x4_3_U_100_200__R_inter;609;609
20x4_3_U_100_200__R_uni;637;635
20x4_4_JobCorre_R_inter;254;244
20x4_4_JobCorre_R_uni;292;292
20x4_4_MachCorre_R_inter;234;227
20x4_4_MachCorre_R_uni;211;201
20x4_4_U_1_100__R_inter;96;96
20x4_4_U_1_100__R_uni;137;135
20x4_4_U_10_100__R_inter;134;134
20x4_4_U_10_100__R_uni;170;170
20x4_4_U_100_200__R_inter;604;604
20x4_4_U_100_200__R_uni;692;635
20x4_5_JobCorre_R_inter;297;281
20x4_5_JobCorre_R_uni;409;397
20x4_5_MachCorre_R_inter;391;377
20x4_5_MachCorre_R_uni;236;230
20x4_5_U_1_100__R_inter;109;109
20x4_5_U_1_100__R_uni;118;112
20x4_5_U_10_100__R_inter;152;152
20x4_5_U_10_100__R_uni;159;148
20x4_5_U_100_200__R_inter;613;613
20x4_5_U_100_200__R_uni;639;619
20x6_1_JobCorre_R_inter;212;201
20x6_1_JobCorre_R_uni;194;194
20x6_1_MachCorre_R_inter;177;177
20x6_1_MachCorre_R_uni;58;58
20x6_1_U_1_100__R_inter;75;75
20x6_1_U_1_100__R_uni;54;54
20x6_1_U_10_100__R_inter;102;102
20x6_1_U_10_100__R_uni;81;81
20x6_1_U_100_200__R_inter;440;440
20x6_1_U_100_200__R_uni;423;423
20x6_2_JobCorre_R_inter;171;171
20x6_2_JobCorre_R_uni;171;171
20x6_2_MachCorre_R_inter;162;162
20x6_2_MachCorre_R_uni;95;95
20x6_2_U_1_100__R_inter;82;82
20x6_2_U_1_100__R_uni;60;60
20x6_2_U_10_100__R_inter;107;107
20x6_2_U_10_100__R_uni;88;88
20x6_2_U_100_200__R_inter;456;456
20x6_2_U_100_200__R_uni;437;428
20x6_3_JobCorre_R_inter;185;185
20x6_3_JobCorre_R_uni;233;225
20x6_3_MachCorre_R_inter;192;192
20x6_3_MachCorre_R_uni;163;163
20x6_3_U_1_100__R_inter;59;59
20x6_3_U_1_100__R_uni;62;62
20x6_3_U_10_100__R_inter;86;86
20x6_3_U_10_100__R_uni;89;85
20x6_3_U_100_200__R_inter;436;436
20x6_3_U_100_200__R_uni;448;437
20x6_4_JobCorre_R_inter;182;177
20x6_4_JobCorre_R_uni;201;192
20x6_4_MachCorre_R_inter;62;62
